control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
fad	fx	P47911	Rpl6	-0.0502726214587435	0.3089357679844308	0.6255385550283292	0.34857173214611886	-0.5101318070142064
fad	fx	Q9JKR6	Hyou1	0.06524172953108584	0.3105590862096536	0.6261241248858196	0.3488980319367189	0.5078557598237214
fad	fx	P0C027	Nudt10	-0.06536248087631409	0.31096230475756514	0.6261241248858196	0.3488980319367189	-0.5072922535068926
fad	fx	P35438	Grin1	-0.05067427557285349	0.3114375800772196	0.6261241248858196	0.3488980319367189	-0.5066289838185138
fad	fx	P23818	Gria1	-0.0744950418791724	0.3118794463079055	0.6261241248858196	0.3488980319367189	-0.506013245471097
fad	fx	Q6PIC6	Atp1a3	-0.05191104196851805	0.3120679629610548	0.6261241248858196	0.3488980319367189	-0.505750813915217
fad	fx	Q8K2H2	Otud6b	0.08942134441090616	0.3125677480886309	0.6261241248858196	0.3488980319367189	0.505055836136896
fad	fx	Q63844	Mapk3	0.05910186819565237	0.31359712835951326	0.6261241248858196	0.3488980319367189	0.5036279228476995
fad	fx	O08638	Myh11	-0.17803215110456794	0.31385757406404774	0.6261241248858196	0.3488980319367189	-0.5032673864189378
fad	fx	P99024	Tubb5	-0.07012213711465425	0.3139237789428163	0.6261241248858196	0.3488980319367189	-0.5031757863308078
fad	fx	Q61885	Mog	-0.100693545353175	0.3144565927551701	0.6261241248858196	0.3488980319367189	-0.5024392956176519
fad	fx	Q8BGH2	Samm50	-0.05289453449664308	0.3155026151478751	0.6261241248858196	0.3488980319367189	-0.5009970366113382
fad	fx	P16546	Sptan1	0.04656613878403766	0.31616820887649016	0.6261241248858196	0.3488980319367189	0.5000818010819623
fad	fx	Q68EF6	Begain	0.09732944029792225	0.31682054548056643	0.6261241248858196	0.3488980319367189	0.49918666262700423
fad	fx	P63318	Prkcg	-0.05311004634839731	0.3170226598380822	0.6261241248858196	0.3488980319367189	-0.49890969459320345
fad	fx	Q8VEH5	Epm2aip1	0.04848698277841398	0.31704716124294724	0.6261241248858196	0.3488980319367189	0.4988761310183942
fad	fx	Q8CGY8	Ogt	-0.04683418040306559	0.3178777287245438	0.6261241248858196	0.3488980319367189	-0.49773989873152985
fad	fx	P99029	Prdx5	0.06673220433846831	0.31789365335939623	0.6261241248858196	0.3488980319367189	0.49771814254294044
fad	fx	P43006	Slc1a2	-0.05707646305265382	0.3185383546857313	0.6261241248858196	0.3488980319367189	-0.4968382674872083
fad	fx	Q9CZW5	Tomm70a	-0.05774854054412862	0.3185487540326752	0.6261241248858196	0.3488980319367189	-0.4968240892722303
fad	fx	P48320	Gad2	-0.045960847279081826	0.3186748569881317	0.6261241248858196	0.3488980319367189	-0.4966522004172846
fad	fx	Q9CWK8	Snx2	0.05617956318693177	0.3187048537630776	0.6261241248858196	0.3488980319367189	0.49661132232335164
fad	fx	Q9JLI8	Sart3	0.054500673953679274	0.32094531856335845	0.6277295565255967	0.34979263400883887	0.4935689547263264
fad	fx	Q8BWG8	Arrb1	-0.07507125793308013	0.3215079189144345	0.6277295565255967	0.34979263400883887	-0.4928083256993633
