"","TgXBP1s /
WT","5xFAD /
WT","TgXBP1s-5xFAD /
5xFAD"
"Timm10",0.302187456537041,-1.33782006134462,1.66986387992986
"Ermn",-0.306062182519875,-1.32803521782137,1.90424083506962
"Pitpnb",-0.970803407249975,-1.32619839043108,0.510477473628884
"Nid1",0.280982604799387,-1.31903067276327,-0.117155989251514
"Napg",-0.867620213282601,-1.31562344769903,1.00369620206222
"Gprin1",0.109798609835665,-1.31413266939904,0.798645811638211
"Elavl1",0.609441417715219,-1.3094955065602,0.98638697921952
"Oxr1",-0.888564947347803,-1.30838310516229,1.68149845069044
"Tpi1",-0.390959001495409,-1.29047775436133,1.5709590298332
"Serpinb6",-0.518051040939067,-1.27582740316439,0.364145600350648
"Pdap1",0.134608560132642,-1.27092448909584,3.40887911537804
"Acot2",-0.960830112331883,-1.26903666946151,0.528642552532287
"Atp6v1c1",-0.857675461391419,-1.26790405022585,0.990645855588723
"Rps28",0.395170117712422,-1.25767437378535,1.95118968473997
"Rab23",-0.0926627431609535,-1.25113747726563,0.804248862250086
"Acad9",0.293751166218228,-1.25068211158237,0.456258230815209
"Map4",-0.119869589490249,-1.25025620019338,2.44351541002313
"Smc1a",0.594023964481636,-1.23486605611491,0.124342886419064
"Psmb7",0.478284471067012,-1.21990345009591,1.05471395521799
"Mdh1",-0.0951399174289895,-1.21933719345213,0.470812504109282
"Adss",-1.24890159530351,-1.21344861784895,1.2624393377868
"Aldh9a1",-0.0874473196242802,-1.20956886076048,1.04529318905483
"Tceb2",-0.229369783067267,-1.2057778438349,0.51637462015136
"Diras2",-0.901500843433059,-1.20334426062969,1.40020500032148
"Ppia",-0.104803199902883,-1.18513701189759,2.92853377892635
"Hnrnpk",0.711006006144058,-1.18300870468765,1.38676353168057
"Hdhd2",0.0492550606670591,-1.18143035430498,1.47472864932443
"Ppp2r4",0.186226930394595,-1.18024922853073,0.948143234602936
"Pck2",-0.00704580981648183,-1.17220732432753,0.709166522531729
"Sptb",-0.135426503290466,-1.16758461909451,0.852242573067921
"Pgls",-0.0405506435892011,-1.15879624362863,0.395504878631436
"Hnrnpc",0.635007418811317,-1.15850248475179,1.99581735496165
"Syncrip",0.296062720315881,-1.15780610380388,0.298387672202275
"Pgam1",-0.436784815404068,-1.15744651307217,1.07996717966104
"Pcca",-0.788132545903503,-1.15449767459812,0.0709246385462487
"Oxct1",-0.21076028992748,-1.15107658679649,-0.107197482581796
"Pnkd",-0.826324226667857,-1.14054745815268,-1.19055456643462
"Clip1",-0.189305856383074,-1.13964066612857,2.03837363162896
"Ptk2b",-1.86381855346823,-1.13499403039758,1.82044176258705
"Crk",-0.0503859161877282,-1.13467050349159,1.06742218360659
"Arpc2",-1.62775937365997,-1.13460980869767,1.26438890078055
"Twf1",-0.850286546518774,-1.13153029010943,1.32196241810164
